building_id,year,renovation_probability
471,2034,0.3
640,2034,0.2
650,2034,0.3
692,2034,0.4
814,2034,0.1
1128,2034,0.2
38,2034,0.3
58,2034,0.3
253,2034,0.1
292,2034,0.2
367,2034,0.2
552,2034,0.4
559,2034,0.1
648,2034,0.2
701,2034,0.1
748,2034,0.3
770,2034,0.1
142,2034,0.2
179,2034,0.1
204,2034,0.1
264,2034,0.3
436,2034,0.2
475,2034,0.2
496,2034,0.3
668,2034,0.1
799,2034,0.2
800,2034,0.3
1154,2034,0.1
1522,2034,0.2
270,2034,0.2
276,2034,0.1
286,2034,0.5
288,2034,0.3
291,2034,0.1
1580,2034,0.2
48,2034,0.2
212,2034,0.3
387,2034,0.2
497,2034,0.1
2084,2034,0.2
72,2034,0.2
173,2034,0.5
255,2034,0.2
263,2034,0.2
422,2034,0.4
749,2034,0.1
152,2034,0.3
277,2034,0.5
378,2034,0.1
402,2034,0.2
551,2034,0.2
643,2034,0.3
685,2034,0.1
1207,2034,0.3
2144,2034,0.1
62,2034,0.2
896,2034,0.3
594,2034,0.1
741,2034,0.1
1594,2034,0.1
53,2034,0.3
138,2034,0.1
247,2034,0.3
424,2034,0.2
228,2035,0.3
258,2035,0.4
356,2035,0.2
386,2035,0.1
471,2035,0.3
640,2035,0.2
650,2035,0.3
692,2035,0.4
814,2035,0.1
1128,2035,0.2
38,2035,0.3
58,2035,0.3
253,2035,0.1
292,2035,0.2
367,2035,0.2
552,2035,0.4
559,2035,0.1
648,2035,0.2
701,2035,0.1
770,2035,0.2
142,2035,0.2
179,2035,0.1
204,2035,0.1
264,2035,0.3
436,2035,0.2
475,2035,0.2
496,2035,0.4
668,2035,0.1
799,2035,0.2
800,2035,0.3
1154,2035,0.1
1522,2035,0.2
270,2035,0.2
276,2035,0.1
286,2035,0.5
288,2035,0.3
291,2035,0.1
1580,2035,0.2
48,2035,0.2
212,2035,0.3
387,2035,0.2
497,2035,0.1
2084,2035,0.2
72,2035,0.2
173,2035,0.5
255,2035,0.2
263,2035,0.2
422,2035,0.4
749,2035,0.1
277,2035,0.5
378,2035,0.1
402,2035,0.2
551,2035,0.2
643,2035,0.3
685,2035,0.1
1207,2035,0.3
2144,2035,0.1
62,2035,0.2
594,2035,0.1
741,2035,0.1
1594,2035,0.1
53,2035,0.3
138,2035,0.1
247,2035,0.3
424,2035,0.2
721,2035,0.2
1221,2035,0.2
220,2035,0.2
680,2025,0.1
937,2025,0.1
979,2025,0.2
2066,2025,0.1
2100,2025,0.1
140,2025,0.1
290,2025,0.2
312,2025,0.4
499,2025,0.2
680,2026,0.2
937,2026,0.1
979,2026,0.2
2066,2026,0.1
2100,2026,0.1
140,2026,0.2
290,2026,0.2
312,2026,0.5
499,2026,0.2
2042,2026,0.3
26,2026,0.1
217,2026,0.2
389,2026,0.1
543,2026,0.1
574,2026,0.1
595,2026,0.1
680,2027,0.3
937,2027,0.1
